0,1,2,3,4,5,6,7,8
LDHB,RPS12,S100A9,CD74,CCL5,LST1,NKG7,HLA-DPB1,PF4
LTB,RPL32,LYZ,CD79A,NKG7,COTL1,GNLY,HLA-DQA1,GNG11
CD3D,RPS6,S100A8,HLA-DRA,B2M,FCER1G,GZMB,HLA-DPA1,SDPR
IL32,RPS27,TYROBP,CD79B,GZMA,AIF1,CTSW,HLA-DRA,PPBP
TPT1,RPS14,FTL,HLA-DPB1,CST7,IFITM3,PRF1,CST3,NRGN
CD3E,RPS25,FCN1,HLA-DQA1,CTSW,FTH1,GZMA,FCER1A,GPX1
IL7R,RPL13,CST3,MS4A1,IL32,SAT1,CST7,HLA-DRB1,SPARC
RPS12,RPL31,S100A6,HLA-DRB1,HLA-C,FTL,HLA-C,CD74,TPM4
JUNB,RPS3,LGALS2,HLA-DQB1,GZMK,PSAP,B2M,HLA-DRB5,RGS18
RPS25,RPL21,FTH1,CD37,HLA-A,S100A11,FGFBP2,HLA-DMA,CALM3
EEF1A1,RPS3A,LGALS1,HLA-DPA1,CD3D,SERPINA1,HLA-A,HLA-DQB1,RGS10
RPS29,RPL9,GSTP1,HLA-DRB5,PTPRCAP,CTSS,CD247,GPX1,TAGLN2
RPS3,RPS15A,GPX1,TCL1A,LYAR,FCGR3A,FCGR3A,GSTP1,MYL6
RPS27,RPL3,S100A4,RPL18A,MALAT1,IFITM2,SPON2,LYZ,OAZ1
RPSA,RPL30,OAZ1,LINC00926,GZMM,OAZ1,HLA-B,GRN,GP9
RPL30,RPLP2,AIF1,HLA-DMA,CD8A,CD68,GZMM,CLEC10A,HIST1H2AC
RPS27A,RPS18,TYMP,RPS23,HCST,CST3,CD7,HLA-DQA2,CD9
TMEM66,RPS27A,CTSS,RPS11,HLA-B,CEBPB,UBB,H2AFY,MYL12A
RPL3,RPL27A,LST1,RPS5,KLRG1,S100A4,PLAC8,VIM,CCL5
RPS15A,RPL11,SAT1,VPREB3,CD99,CFD,CCL4,LSP1,ITM2B
